id,level,state_name,district_name,year,quarter,count,amount
136,state,sikkim,,2018,4,154533,383141358.07825375
137,state,nagaland,,2018,4,139333,388013467.5456239
138,state,mizoram,,2018,4,55242,190426852.52952954
139,state,chhattisgarh,,2018,4,5365844,9416412664.971258
140,state,jammu & kashmir,,2018,4,2721310,5664720265.697432
141,state,goa,,2018,4,514755,1153005078.9224057
142,state,arunachal pradesh,,2018,4,176429,504040029.0917605
143,state,delhi,,2018,4,29187719,39722857618.706436
144,state,uttarakhand,,2018,4,3178761,5654272137.963844
145,state,puducherry,,2019,1,501092,906473024.3065231
146,state,tamil nadu,,2019,1,32275045,56204036816.128555
147,state,uttar pradesh,,2019,1,57324504,76524180134.0167
148,state,madhya pradesh,,2019,1,37301049,48070279522.04201
149,state,andhra pradesh,,2019,1,57264522,83760595917.0792
150,state,tripura,,2019,1,580926,756894941.6158216
151,state,lakshadweep,,2019,1,2481,8786130.479338994
152,state,manipur,,2019,1,265409,659898060.4240801
153,state,maharashtra,,2019,1,75079069,111420690920.33997
154,state,dadra & nagar haveli & daman & diu,,2019,1,661814,843369776.0499002
155,state,meghalaya,,2019,1,208741,399037162.15343595
156,state,andaman & nicobar islands,,2019,1,30486,102299740.67348987
157,state,haryana,,2019,1,22135775,34051655721.631077
158,state,rajasthan,,2019,1,43956040,61141158575.55252
159,state,ladakh,,2019,1,46145,152859920.9491272
160,state,punjab,,2019,1,7172137,13574490001.853222
161,state,assam,,2019,1,4533005,8002099536.451059
162,state,jharkhand,,2019,1,9387708,13627236449.278034
163,state,odisha,,2019,1,34031942,35427127930.698456
164,state,bihar,,2019,1,26356234,41502827514.52612
165,state,kerala,,2019,1,6469039,10235031134.849785
166,state,karnataka,,2019,1,86587609,117976382145.74966
167,state,chandigarh,,2019,1,1274476,2396032050.444029
168,state,telangana,,2019,1,65290702,95523262035.66321
169,state,himachal pradesh,,2019,1,2168718,3381481442.991081
170,state,west bengal,,2019,1,47626388,50164672623.87851
171,state,gujarat,,2019,1,24991451,35856080308.47724
172,state,sikkim,,2019,1,240287,457993634.3840939
173,state,nagaland,,2019,1,168579,441941712.41233104
174,state,mizoram,,2019,1,70306,218160895.39740258
175,state,chhattisgarh,,2019,1,7887669,12544556385.328796
176,state,jammu & kashmir,,2019,1,3584987,5951835476.521047
177,state,goa,,2019,1,738812,1475323397.276577
178,state,arunachal pradesh,,2019,1,226506,609950106.3139492
179,state,delhi,,2019,1,47007327,58469131789.49733
180,state,uttarakhand,,2019,1,5546001,7183529175.274033
181,state,puducherry,,2019,2,580077,1211446910.127807
182,state,tamil nadu,,2019,2,32171737,64207676025.75553
183,state,uttar pradesh,,2019,2,58883500,98917519370.67831
184,state,madhya pradesh,,2019,2,40846013,68334566380.56182
185,state,andhra pradesh,,2019,2,56409015,113634518758.22931
186,state,tripura,,2019,2,532558,841821482.8473747
187,state,lakshadweep,,2019,2,2926,9242524.13698889
188,state,manipur,,2019,2,257425,722789942.1495004
189,state,maharashtra,,2019,2,101149853,153294470088.05945
190,state,dadra & nagar haveli & daman & diu,,2019,2,489656,824441276.56507
191,state,meghalaya,,2019,2,232286,492931289.1072781
192,state,andaman & nicobar islands,,2019,2,33689,120254709.6756632
193,state,haryana,,2019,2,22741816,42501539813.21669
194,state,rajasthan,,2019,2,50009286,89107313172.66756
195,state,ladakh,,2019,2,68772,259255506.9974248
196,state,punjab,,2019,2,8509830,18614793394.772213
197,state,assam,,2019,2,5454929,10954969189.126175
198,state,jharkhand,,2019,2,10128211,18622701305.54623
199,state,odisha,,2019,2,29512024,44754854871.67608
200,state,bihar,,2019,2,29960479,63132438283.54397
201,state,kerala,,2019,2,7283826,13031371561.185568
202,state,karnataka,,2019,2,115401604,163702024226.0841
203,state,chandigarh,,2019,2,1252470,2693116098.9444556
204,state,telangana,,2019,2,89610379,155676443182.43457
205,state,himachal pradesh,,2019,2,2502306,4875883973.61058
206,state,west bengal,,2019,2,47023535,57105691119.11844
207,state,gujarat,,2019,2,28981842,49320615219.26732
208,state,sikkim,,2019,2,388244,738894243.4359412
209,state,nagaland,,2019,2,188753,520066682.1585048
210,state,mizoram,,2019,2,75671,248016708.13501447
211,state,chhattisgarh,,2019,2,9389945,17002355688.82225
212,state,jammu & kashmir,,2019,2,2296355,6100142201.563448
213,state,goa,,2019,2,768441,1591867103.3876143
214,state,arunachal pradesh,,2019,2,258656,752655874.3550282
215,state,delhi,,2019,2,57171512,81706816063.62862
216,state,uttarakhand,,2019,2,4813275,8588532850.9184885
217,state,puducherry,,2019,3,716826,1460708357.4554102
218,state,tamil nadu,,2019,3,41410183,78959604643.63503
219,state,uttar pradesh,,2019,3,68623959,111268137475.02843
220,state,madhya pradesh,,2019,3,53610411,77676321491.22867
221,state,andhra pradesh,,2019,3,76288614,139447944254.78943
222,state,tripura,,2019,3,711717,1017377422.817224
223,state,lakshadweep,,2019,3,3104,9651761.463768471
224,state,manipur,,2019,3,345008,863552002.562933
225,state,maharashtra,,2019,3,148735581,199617506744.94272
226,state,dadra & nagar haveli & daman & diu,,2019,3,638751,961471473.8483732
227,state,meghalaya,,2019,3,306550,612218602.153532
228,state,andaman & nicobar islands,,2019,3,33770,114071776.08729392
229,state,haryana,,2019,3,30343531,52489119199.44011
230,state,rajasthan,,2019,3,67303617,112468290031.92343
231,state,ladakh,,2019,3,92396,331129527.19382226
232,state,punjab,,2019,3,10706812,22905815605.843315
233,state,assam,,2019,3,5942571,12950443620.426579
234,state,jharkhand,,2019,3,14220647,21465973993.35938
235,state,odisha,,2019,3,41422272,57304577359.217094
236,state,bihar,,2019,3,32139900,67692783254.273834
237,state,kerala,,2019,3,9286096,16429809722.064445
238,state,karnataka,,2019,3,170733735,214536720438.18292
239,state,chandigarh,,2019,3,1506543,3269682087.6608405
240,state,telangana,,2019,3,121495376,201930021130.42365
241,state,himachal pradesh,,2019,3,2735180,5572018781.123304
242,state,west bengal,,2019,3,66444829,70540532616.82985
243,state,gujarat,,2019,3,38228649,59462694964.26753
244,state,sikkim,,2019,3,552436,884716448.4404289
245,state,nagaland,,2019,3,261878,650956471.7134112
246,state,mizoram,,2019,3,98094,278793899.9513421
247,state,chhattisgarh,,2019,3,12243111,19803259167.45372
248,state,jammu & kashmir,,2019,3,1116526,3744230491.7824554
249,state,goa,,2019,3,1092416,2000367191.496843
250,state,arunachal pradesh,,2019,3,370234,912645034.7958709
251,state,delhi,,2019,3,69537876,103196812046.45712
252,state,uttarakhand,,2019,3,5710476,9729032070.017406
253,state,puducherry,,2019,4,1012655,1932028317.878899
254,state,tamil nadu,,2019,4,56596411,103190865512.53719
255,state,uttar pradesh,,2019,4,86905005,145538926507.3059
256,state,madhya pradesh,,2019,4,68131989,104687926790.86589
257,state,andhra pradesh,,2019,4,107218103,200948315488.80518
258,state,tripura,,2019,4,801824,1215400160.2581887
259,state,lakshadweep,,2019,4,3765,11269913.40492385
260,state,manipur,,2019,4,449344,1200897682.088641
261,state,maharashtra,,2019,4,201260620,272994428799.5649
262,state,dadra & nagar haveli & daman & diu,,2019,4,768971,1226641262.0110402
263,state,meghalaya,,2019,4,365981,742436471.7902198
264,state,andaman & nicobar islands,,2019,4,35159,136838530.5173779
265,state,haryana,,2019,4,37825985,69359719869.10008
266,state,rajasthan,,2019,4,85074242,159452410049.68317
267,state,ladakh,,2019,4,84706,324689360.02811134
268,state,punjab,,2019,4,13698625,29989802246.19331
269,state,assam,,2019,4,6760510,15281983895.512564
270,state,jharkhand,,2019,4,18248618,28147748376.677704
271,state,odisha,,2019,4,64995633,79769373632.04843
272,state,bihar,,2019,4,43530314,93313426577.80905
